sentences
บทความวิชาการนี้ นำเสนอการศึกษางานวิจัยเกี่ยวกับการประยุกต์ใช้ระบบคิวอาร์โค้ดในการเพิ่มประสิทธิภาพในองค์กร
ซึ่งผลจากการทบทวนวรรณกรรมและการวิเคราะห์ พบว่า มีการประยุกต์ใช้ระบบคิวอาร์โค้ดใน 4 องค์กรหลัก คือ
1) หน่วยงานด้านการศึกษา
2) หน่วยงานด้านการท่องเที่ยว
3) หน่วยงานด้านสาธารณสุข และ 4) หน่วยงานด้านการผลิตสินค้าและบริการอื่นๆ
ซึ่งแนวทางเพื่อเพิ่มประสิทธิภาพในองค์กรด้วยการประยุกต์ใช้ระบบคิวอาร์โค้ด สามารถช่วยองค์กรเพื่อการเพิ่มประสิทธิภาพใน 6 มิติหลัก คือ
1) การลดระยะเวลา
2) การลดความผิดพลาด
3) การลดต้นทุน
4) การเพิ่มความสะดวกสบาย
5) การเพิ่มโอกาสด้านการขาย
และ 6) การเพิ่มความน่าเชื่อถือได้อย่างมีประสิทธิภาพ
