prefix,input_text,target_text
English to Thai,Simulation results compare transient responses of grid current derived from entering two different couples of closed-loop poles into the design equation and then allowing it to run.,ผลการจำลองสถานการณ์จะเปรียบเทียบผลตอบสนองกระแสไฟฟ้ากริดในสถานะชั่วครู่ที่เกิดจากการใช้สมการออกแบบคำนวณค่าเกนของตัวควบคุม
English to Thai,Grid-current response tracking its reference and synchronization between grid current and grid voltage in steady state are accomplished under experiments on the control system.,และการทดลองระบบควบคุมอินเวอร์เตอร์เฟสเดียวจะให้ผลตอบสนองกระแสไฟฟ้ากริดที่ติดตามกระแสไฟฟ้ากริดอ้างอิงในสถานะอยู่ตัว
English to Thai,"Thus, the proposed design equation is an alternative way for tuning the gains of the PR controller in practice.",ดังนั้นสมการออกแบบที่นำเสนอคือทางเลือกหนึ่งที่ใช้ปรับจูนค่าเกนของตัวควบคุมพีอาร์ในทางปฏิบัติ
English to Thai,The objectives of this study were to study and determine the importance level of factors related to the selection and evaluation service providers in machine procurement and fabrication by applying analytic hierarchy process (AHP).,การศึกษาครั้งนี้มีวัตถุประสงค์เพื่อทำการศึกษาและกำหนดระดับความสำคัญของปัจจัยที่มีผลต่อการคัดเลือกและประเมินผู้ให้บริการด้านจัดซื้อและผลิตเครื่องจักร กรณีศึกษาสำหรับอุตสาหกรรมอาหารและเครื่องดื่ม ด้วยการประยุกต์ใช้กระบวนการลำดับชั้นเชิงวิเคราะห์
English to Thai,The research methodology began with studying and collecting data to determine factors affecting the selection and evaluation service provider from related literatures and experts in manufacturing industry.,ขั้นตอนในการดำเนินงานวิจัยเริ่มต้นจากการศึกษาและรวบรวมข้อมูลเพื่อกำหนดปัจจัยที่ใช้ในการพิจารณาคัดเลือกและประเมินผู้ให้บริการ จากการศึกษางานวิจัยที่เกี่ยวข้องและผู้เชี่ยวชาญในอุตสาหกรรมการผลิต
English to Thai,"Five main factors that were determined included price, production capability, delivery, quality and time.",ปัจจัยที่นำมาใช้ในการตัดสินใจสามารถแบ่งได้เป็น 5 ด้าน ได้แก่ ด้านราคา ด้านความสามารถการผลิต ด้านการจัดส่ง ด้านคุณภาพและด้านเวลา
English to Thai,"In addition, twenty minor factors were identified.",และสามารถกำหนดปัจจัยรองทั้งสิ้น 20 ปัจจัย
English to Thai,"Then, questionnaire was developed theoretically based on AHP principle.",จากนั้นทำการออกแบบสอบถามตามหลักการของวิธีการวิเคราะห์ลำดับชั้นและเก็บข้อมูลโดยการสัมภาษณ์กลุ่มผู้เชี่ยวชาญจำนวน  10 ราย
English to Thai,Data were collected from interviewing ten experts and then analyzed by using Expert Choice v.11.,และนำมาวิเคราะห์ด้วยโปรแกรม Expert Choice v.11
English to Thai,"The results indicated that time ranked the first priority of importance (0.482) followed by quality (0.288), production capability (0.136), price (0.062) and delivery (0.032), respectively.",ผลการวิเคราะห์พบว่า ด้านเวลา (0.482) เป็นลำดับที่แรก ตามด้วย ด้านคุณภาพ (0.288)  ด้านความสามารถการผลิต (0.136) ด้านราคา (0.062) และด้านการจัดส่ง (0.032) ตามลำดับ
English to Thai,"For overall factors consideration at sub-factor level, the top five of sub-factors were on-time delivery (0.244) followed by product quality (0.178), price quotation (0.115), production time (0.106) and industrial knowledge and know-how (0.065), respectively.",และเมื่อพิจารณาภาพรวมของทุกปัจจัยในระดับปัจจัยรอง ระดับความสำคัญใน 5 ลำดับแรกได้แก่ ด้านส่งมอบตรงเวลา (0.244) มีค่าเฉลี่ยของน้ำหนักระดับความสำคัญเป็นลำดับที่หนึ่ง ตามด้วยด้านคุณภาพของผลิตภัณฑ์ (0.178) ด้านเสนอราคา(0.115) ด้านเวลาการผลิต (0.106) และด้านความรู้ทางอุตสาหกรรม (0.065) ตามลำดับ
English to Thai,"In server cabinet manufacture industry, the lateness in the measurement process affects the productivity of the manufacturing process.",ในอุตสาหกรรมการผลิตตู้เซิร์ฟเวอร์ความล่าช้าในกระบวนการวัดส่งผลต่อความสามารถในการผลิตของกระบวนการผลิต
English to Thai,"Therefore, this research aimed to improve an efficiency of the spot weld measurement process in server cabinet part.",ด้วยเหตุนี้การศึกษาวิจัยนี้จึงมีวัตถุประสงค์เพื่อปรับปรุง ประสิทธิภาพในกระบวนการตรวจวัดคุณภาพรอยเชื่อมแบบจุดของชิ้นส่วนตู้เซิร์ฟเวอร์
English to Thai,The ECRS technique was applied for a convenient usage and a measured time decrease.,โดยใช้เทคนิคอีซีอาร์เอส (ECRS) เพื่อให้ปฏิบัติงานได้ง่ายและลดระยะเวลาในกระบวนการตรวจวัด
English to Thai,The fixture was designed and studied the standard time for measurement and standard time discovery.,โดยออกแบบอุปกรณ์ช่วยในการจับยึดสำหรับการตรวจวัดขนาด และศึกษาเวลาเพื่อหาเวลามาตรฐานในการตรวจวัด
English to Thai,"Afterwards, the received results were compared with the conventional measurement.",จากนั้นเปรียบเทียบกับวิธีการตรวจวัดด้วยวิธีการเดิม
English to Thai,"The study found that the designed fixture was used in part 3 and 9 revealed 5.16 and 5.53 of the standard time, respectively.",จากการศึกษาพบว่า การใช้อุปกรณ์ช่วยในการตรวจวัดความแข็งแรงของจุดเชื่อมของชิ้นส่วนที่ 3 และชิ้นส่วนที่ 9 มีเวลามาตรฐานในกระบวนการตรวจวัด 5.16 นาที และ 5.53 นาที ตามลำดับ
English to Thai,This result indicated the decrease in the standard measurement time with good continent of QA officer.,ซึ่งใช้เวลาน้อย และรวดเร็วช่วยให้พนักงานปฏิบัติงานได้ง่ายขึ้นเป็นที่พึงพอใจกับพนักงานฝ่ายตรวจวัดคุณภาพ
English to Thai,"For part 1, 4 and 8, the standard time is 7.76, 9.20 and 9.51 minute, respectively.",สำหรับการตรวจวัดชิ้นส่วนที่ 1 ชิ้นส่วนที่ 4 และชิ้นส่วนที่ 8 มีเวลามาตรฐานในการตรวจวัด ด้วยอุปกรณ์ช่วยตรวจวัดขนาด 7.76 นาที 9.20 นาที และ 9.51 นาที ตามลำดับ
English to Thai,All results displayed the more convenient and less standard measurement time than the old one.,ซึ่งตรวจวัดได้ง่ายขึ้นใช้เวลาน้อยกว่าวิธีการตรวจวัดแบบเดิม
English to Thai,"The efficiency of time decrease is 29.02%, 16.84%, 39.42%, 39.94% and 35.39% for part 3, 9, 1, 4 and 8.","คิดเป็นประสิทธิภาพการลดเวลากระบวนการ ปฏิบัติงานของการตรวจวัดชิ้นส่วนที่ 3 ชิ้นส่วนที่ 9 ชิ้นส่วนที่ 1 ชิ้นส่วนที่ 4 และชิ้นส่วนที่ 8 ได้ถึง 29.02%, 16.84%, 39.42%, 39.94% และ 35.39% ตามลำดับ"
English to Thai,"Moreover, the proficiency of QA officer was not required for high-efficiency work.",อีกทั้งไม่จำเป็นที่ ต้องใช้พนักงานที่มีความชำนาญมากในการตรวจวัดก็สามารถปฏิบัติงานได้อย่างมีประสิทธิภาพอีกด้วย
English to Thai,The industry selection in the Cooperative Learning program is very importance for students.,การเลือกสถานประกอบการเพื่อออกปฏิบัติงานสหกิจศึกษาของนักศึกษานั้นเป็นสิ่งสำคัญ
English to Thai,This is because the students are able to learn and practice in the real places.,เพราะการปฏิบัติงานสหกิจศึกษานั้นถือได้ว่าเป็นการเข้าถึงแหล่งความรู้ประสบการณ์ด้านวิชาชีพก่อนจะก้าวไปสู่โลกแห่งความเป็นจริง
English to Thai,"Therefore, the students should select the suitable industry.",ดังนั้นนักศึกษาควรเลือกสถานประกอบการให้ตรงตามความต้องการของตนเอง
English to Thai,"In this research, the application of the Analysis Hierarch Process to select the industry in the Cooperative Learning program is proposed.",คณะผู้วิจัยได้ทำการประยุกต์ใช้กระบวนการลำดับชั้นเชิงวิเคราะห์  (Analysis Hierarch Process: AHP) สำหรับเป็นตัวช่วยในการตัดสินใจเลือกสถานประกอบการที่จะออกปฏิบัติงานสหกิจศึกษาของนักศึกษาให้มีประสิทธิภาพมากขึ้น
English to Thai,"This method can help to find the industry that suitable for each student by considering 4 decision factors including, location, work filed, business type and welfare.",โดยพิจารณาปัจจัยที่ใช้สำหรับการเลือกสถานประกอบการทั้งหมด 4 ปัจจัย คือ ภูมิภาค สายงาน ประเภทธุรกิจ และสวัสดิการ
English to Thai,"In this research, 36 students and 30 industries are selected as a sample group.",และมีสถานประกอบการที่ใช้ในการพิจารณาทั้งสิ้น 30 บริษัท
English to Thai,"The type of industries are auto mobile industry, electronic industry and engineering material industry.",แยกออกเป็น 3 ประเภทธุรกิจ ได้แก่ ประเภทผลิตชิ้นส่วนยานยนต์ ผลิตชิ้นส่วนอิเล็กทรอนิคส์ และผลิตวัสดุวิศวกรรม
English to Thai,The result of this study is a list of industries that suitable for each student.,จากนั้นผู้วิจัยได้ดำเนินการสอบถามความพึงพอใจของนักศึกษาหลังจากที่นักศึกษาแต่ละคนทราบรายชื่อบริษัทตามการวิเคราะห์ AHP
English to Thai,"Moreover, 5.56% of students are neutral satisfied with the result.",พบว่า ร้อยละ 5.56 มีความพึงพอใจระดับปานกลาง
English to Thai,41.67% of students are satisfied and 52.78% of students are very satisfied.,ร้อยละ 41.67 มีความพึงพอใจระดับมาก และ ร้อยละ 52.78 มีความพึงพอใจระดับมากที่สุด
