prefix,input_text,target_text
English to Thai,"The reliability of information, as well as the speeding up of the processing and reporting of information to faculty members in each semester was effective; 2) the teaching quality of the instructors at Lampang Rajabhat University was high (x = 4.14, SD = 0.80); 3) the results of the evaluation showed that the students most needed the teacher to develop further their teaching style and to model the teaching process.","วิเคราะห์ได้จากผลการประเมินที่มีค่าความแปรปรวนอยู่ในระดับต่ำ นอกจากนั้น ระบบมีความเร็วในการประมวลผลและรายงานผลสารสนเทศแก่คณาจารย์ได้ในแต่ละภาคการศึกษาได้มีประสิทธิภาพ แสดงว่าสารสนเทศของระบบที่ผ่านการวิเคราะห์สามารถนำมาสนับสนุนการตัดสินใจในคุณภาพการเรียนการสอนได้จริง 2) ""คุณภาพการสอนของอาจารย์ของมหาวิทยาลัยราชภัฏลำปางในภาพอยู่ในระดับมาก ( = 4.14, S.D. =0.80)"" แสดงว่านักศึกษามีความพึงพอใจในคุณภาพสอนของอาจารย์ 3) ผลประเมินพบประเด็นที่นักศึกษาต้องการให้อาจารย์พัฒนามากที่สุด คือ พฤติกรรมอาจารย์ในเรื่องการพัฒนารูปแบบและวิธีการถ่ายทอดความรู้"
English to Thai,"In terms of knowledge transfer, the teaching and learning process was appropriate and easy to understand.",รวมถึงจัดการเรียนการสอนเป็นขั้นตอนอย่างเหมาะสม และเข้าใจง่าย
English to Thai,"The technical and instructional aspects of students' participation in determining the appropriate learning assessment standards in each group of students may have different factors, environments or skills.",ด้านเทคนิคและการสอนในเรื่องให้นักศึกษาเข้ามามีส่วนร่วมในการกำหนดเกณฑ์มาตรฐานการประเมินผลการเรียนรู้ที่เหมาะสมในแต่ละกลุ่มเรียนที่อาจมีปัจจัยสภาพแวดล้อมหรือทักษะแตกต่างกัน
English to Thai,"Finally, in terms of measurement and evaluation, teachers should clarify how to measure and evaluate learning at all times and should measure and evaluate these in a variety of ways.",สุดท้ายด้านการวัดและประเมินผลในเรื่องให้อาจารย์ชี้แจงวิธีการวัด และประเมินผลการเรียนรู้ในทุกครั้งและควรวัดและประเมินในรูปแบบที่หลากหลาย
English to Thai,This paper was to study the optimal conditions for jackfruit drying.,บทความนี้ได้ศึกษาสภาวะที่เหมาะสมในการอบแห้งขนุน โดยเครื่องอบแห้งอินฟราเรดระบบสุญญากาศ
English to Thai,"By infrared dryer, vacuum system. To find the temperature and the distance between the infrared tubes and the appropriate jackfruit. ""The dryer consists of diameter 0.51 m, length 0.8 m. of drying room, 2 infrared heaters 220 V. 250 W. the vacuum pump work rate 13.42 m3/hr.""",เพื่อหาอุณหภูมิและระยะห่างระหว่างหลอดอินฟราเรดกับเนื้อขนุนที่เหมาะสมเครื่องอบแห้งประกอบด้วย ถังอบแห้งขนาดเส้นผ่านศูนย์กลาง 0.51 m ยาว 0.8 m ฮีตเตอร์อินฟราเรดขนาด 220 V 250 W จำนวน 2 หลอด เครื่องทำสุญญากาศขนาด 13.42 m3/hr
English to Thai,And eradication moisture with the Compressor of Refrigeration System size 0.252 kW.,ติดตั้งชุดดักน้ำโดยใช้ระบบทำความเย็นแบบอัดไอขนาด 0.252 kW
English to Thai,The sample for test used jackfruit 2 kg. standard of sample before baking is 350 - 400% of dry basis.,ทดสอบอบเนื้อขนุนจำนวน 2 kg ที่ความชื้นเริ่มต้น 350 - 400%db.
English to Thai,"Baking sample at 50, 55 and 60 oC.",ทำการอบแห้งที่อุณหภูมิ 50 55 และ 60 องศาเซลเซียส
English to Thai,"And Change the absolute pressure on 1, 5, 10 kPa and 15 kPa.",ทำการปรับเปลี่ยนความดันสัมบูรณ์ 1 5 10 และ 15 kPa
English to Thai,"And Change rang from infrared heater to the jackfruit at 12, 15, and 18 cm.",และทำการปรับเปลี่ยนระยะห่างระหว่างหลอดฮีตเตอร์อินฟราเรดกับชั้นวางขนุน 12 15 และ18 cm
English to Thai,Last moisture will be less than 19% of dry basis.,อบแห้งจนเหลือความชื้นสุดท้าย มีค่าไม่เกิน 19%db.
English to Thai,"The optimum conditions for jackfruit drying were Drying temperature at 60 ° C, 1 kPa, infrared heater distance to 12 cm shelves for minimum drying time of 480 minutes, lowest specific energy consumption of 21.67 MJ/kg, and the highest drying rate was 0.172 kg/hr due to the low pressure vacuum.",พบว่าสภาวะที่เหมาะสมการอบแห้งเนื้อขนุน คือ อุณหภูมิอบแห้งที่ 60 องศาเซลเซียส ความดัน 1 kPa ระยะห่างของฮีตเตอร์อินฟราเรดกับชั้นวางที่ 12 cm ซึ่งใช้เวลาในการอบแห้งน้อยที่สุด 480 นาที สิ้นเปลืองพลังงานจำเพาะต่ำที่สุด 21.67 MJ/kg และอัตราการอบแห้งที่สูงที่สุด 0.172 kg/hr เนื่องจากการทำสุญญากาศที่ความดันต่ำ
English to Thai,Can reduce the boiling point of water within the jackfruit. And the distance of the infrared heater to the material near the jackfruit. Higher power consumption per unit of infrared heater. This results in a decrease in specific energy consumption.,สามารถลดอุณหภูมิจุดเดือดของน้ำภายในเนื้อขนุน และระยะห่างของฮีตเตอร์อินฟราเรดกับวัสดุที่ใกล้กับเนื้อขนุน ให้กำลังของอินฟราเรดต่อพื้นที่สูงมีผลทำให้ความสิ้นเปลืองพลังงานจำเพาะลดลง
English to Thai,Increased drying rate.,อัตราการอบแห้งเพิ่มขึ้น
