This research studied about the factors that related to the Fed-Batch Fermentation process.
It cover the process of adding the molasses solution into 2 steps with Saccharomyces cerevisiae microorganisms to enhance the fermentation of molasses from sugar cane.
This can process by the design of experiment technique.
"According to the producing white spirit process from sugar cane molasses in the industrial level, it needs to produce high concentrated alcohol content which using the raw materials wisely and consider to the smell and taste as important."
"Currently, the case study factory has received molasses with concentrations in the range of 48 - 53 %w/w from multiple sources with different internal components and fermented at an average sugar concentration of 20.99 %w/v and an average fermentation efficiency of 79.96 %."
"Based on the previous studies combine with the fish bone diagram and 4M1E principles, it can analyze the root causes of problems affecting the fermentation efficiency of sugar cane molasses by those who have experience and expertise in the fermentation of molasses."
"It was found that there were three factors affecting the fermentation efficiency of sugar cane molasses: Total Reducing Sugar (%w/w), fermentation sugar concentration (%w/v) and temperature inside the tank (°C)."
The designing experiments using the Response Surface Design method in Box-Behnken Design to determine the optimum state of the three factors.
"The results showed that the fermentation efficiency of molasses from sugar cane increased, it was found that the internal composition of the molasses at 50 %w/w, the fermentation sugar concentration of 16 %w/v and the temperature inside the fermentation tank 33 °C resulted."
The efficiency of fermentation of molasses from sugar cane increased was 85.74%.
This research aims to determine the optimal parameter settings for a 3D printer used in manufacturing packaging boxes through experimental design.
"The current manufacturing process has encountered issues with incomplete part formation, leading to delays in delivery to customers due to the robot's inability to pick and deliver parts."
"The root causes were identified using a Cause & Effect diagram analysis, which revealed that the incomplete part formation was mainly impacted by nozzle temperature and bed temperature."
"A full factorial experimental design investigated these factors at three levels each, showing significant effects of nozzle temperature on part formation."
"The optimal settings for both factors were found to be a nozzle temperature of 235°C and bed temperature of 70°C resulting in a substantial reduction of defects from 90% to 16.68%, representing a remarkable decrease of 73.32% in defects."
