"This research aims to reduce waste from the production of defects which are gel or dark specks, wrinkle and uneven thinness defect along Transverse Direction (TD) of machine that occur in film blowing process."
The research applied Six Sigma methodology which composed for five phases.
"Phase I : Define phase, it was found the waste from plastic bags of size 30 x (6 + 2 + 2) inches had the  defective rate due to these three defects totaling 11.03 percent of the production volume."
"Phase II : Measures phase, the accuracy precision of the inspection system were analyzed and found that it was acceptable."
"Phase III : Analyze phase, 22 potential factors affecting these defects were listed by using brainstorming technique and Fishbone diagram."
Next 9 factors were selected to be studied further using the Cause and Effect matrix.
"Phase IV : Improvement phase, two improvement approaches were performed."
"First, the design of experiments technique was applied to prove for significance of factors and find the optimal setting."
"Second, quality procedure and work instructors were created."
"Phase V : Control phase, confirmatory experiment was performed and control plan was set up to maintain the quality level after improvement."
"The factors, which affect these defect are temperature control, production speed, and condition of machine."
"After improvement, the defective rate due to these defects was reduced from 11.03 percent to 0.39 percent, which equivalent to a reduction of 99 percent."
"The improvement leads to the loss saving of 68,527 baht per year for the model under study."
