sentences
ผู้ปฏิบัติงานซ่อมบำรุงในโรงงานรีไซเคิลแบตเตอรี่มีความเสี่ยงอันตรายต่อการได้รับพิษจากตะกั่วในบริเวณพื้นที่ปฏิบัติงาน
งานวิจัยนี้จึงมีวัตถุประสงค์เพื่อวิเคราะห์หารูปแบบการทำงานที่ความปลอดภัยของผู้ปฏิบัติงานซ่อมบำรุง
การดำเนินการวิจัยเริ่มจาก 1) การตรวจวัดสภาพแวดล้อมของการปฏิบัติงาน การสังเกตลักษณะการทำงาน การสังเกตพฤติกรรมการทำงานและช่องทางการสัมผัสสารตะกั่ว
2) การประเมินความเสี่ยงอันตรายโดยใช้ FMEA เป็นแนวทางในการประเมิน  ความเสี่ยงเพื่อวิเคราะห์หารูปแบบการทำงานที่ปลอดภัย
ผลการศึกษาพบว่า ช่องทางการสัมผัสเข้าสู่ร่างกายได้แก่ 1) ระบบทางเดินหายใจโดยการสูดดมควัน ฝุ่น ไอระเหย
2) การสัมผัสทางผิวหนังจากของเหลวที่ปนเปื้อนสารตะกั่ว
และ 3) ระบบทางเดินอาหารจากมือและร่างกายที่เปื้อนสารตะกั่ว
ปัจจัยที่ส่งผลต่อการสัมผัสสารตะกั่ว
เรียงลำดับตามโอกาสในการสัมผัสดังนี้
1) การฟุ้งกระจายของฝุ่นตะกั่ว
2) แหล่งความร้อนที่ทำให้เกิดไอของตะกั่ว
3) พื้นที่เปียกแฉะจากของเหลวที่ปนเปื้อนสารตะกั่ว
4) พฤติกรรมในการทำงาน
5) ระยะเวลาปฏิบัติงาน
และ
6) การพักรับประทานอาหาร
ส่วนรูปแบบการทำงานที่ปลอดภัย ได้แก่
1) การติดตั้งอุปกรณ์เพื่อป้องกันการฟุ้งกระจายของฝุ่นตะกั่ว
2) การทำฉากกันความร้อนจากไอตะกั่ว
3) การใช้อุปกรณ์เสริมเพื่ออำนวยความสะดวกในการทำงานของช่างซ่อม
4) การลดเวลาการทำงานสัมผัสกับความร้อน
และ
5) การสวมใส่ชุดป้องกัน
นอกจากนี้ยังต้องมีมาตรการการเฝ้าระวังสิ่งที่คุกคาม และมาตรการเฝ้าระวังด้านสุขภาพ
หลังการดำเนินการใช้รูปแบบการทำงานที่ปลอดภัยเป็นระยะเวลาสิบเดือนพบว่า ปริมาณตะกั่วในเลือดของช่างซ่อมบำรุงมีค่าลดลงจาก 461.70 µg/L (46.17 µg/dL) เหลือ 157.40 µg/L (15.74 µg/dL) ซึ่งอยู่ในเกณฑ์ปกติ
